exporter,importer,pair_id,year,trade,dist,cntg,lang,clny,log_trade,log_dist,y,log_y,e,log_e,total_e,remoteness_exp,log_remoteness_exp,total_y,remoteness_imp,log_remoteness_imp,exp_year,imp_year
ARG,IND,70,1986,34.0369422179461,15676.2845205982,0,0,0,3.527446470585285,9.659904309231246,64622.553433544635,11.076318753199242,103352.71340878466,11.545902819325352,8435941.468852492,1468012972.5923398,21.107175604015453,8435941.46885249,1087395198.9446933,20.807050947496855,ARG1986,IND1986
ARG,TUN,242,2002,68.7952064814097,10649.9820992626,0,0,0,4.231134069276681,9.273313490315745,44737.55993643325,10.708568694809248,19830.532274427704,9.894978063030948,16796347.543891504,1292885281.035573,20.980142209703,16796347.543891504,858475853.9021765,20.5706691119915,ARG2002,TUN2002
MWI,MLT,1788,1990,0,5978.90839162941,0,1,0,-Inf,8.695993287075854,630.0604224709352,6.445815723470659,2927.224558228714,7.981810003335257,12246859.677430546,825235170.3087783,20.53117895859825,12246859.677430546,957704964.56794,20.680050318322976,MWI1990,MLT1990
TZA,ZAF,2335,2006,261.474818067654,2808.3790557169,0,1,0,5.566337980847582,7.940362747387361,1948.2493563187857,7.574686482334182,198603.72689127974,12.199066796234252,26248052.9686006,581661714.0224531,20.181399589321863,26248052.9686006,1120536668.6072698,20.837073575888244,TZA2006,ZAF2006
CHL,CMR,174,1998,0.0179515161484969,9682.43768925247,0,0,0,-4.020080702517505,9.17806897596954,46551.17275924997,10.748307475927065,3259.1947364965636,8.08923543050332,15387631.310950087,1525890675.6575482,21.1458441261267,15387631.310950087,771307863.0110408,20.463598155343437,CHL1998,CMR1998
MYS,SWE,2111,1986,31.0089594546557,9568.98405284195,0,0,0,3.4342761773947657,9.16628231923403,17368.80298319136,9.762430943975769,67423.99895270308,11.118756301070917,8435941.468852492,1235245363.9200046,20.934535462531912,8435941.46885249,1071748831.4373274,20.792557573110372,MYS1986,SWE1986
MYS,PRT,2041,1994,48.7120003929138,11728.8759692352,0,0,0,3.8859254143723305,9.369809111756341,83722.66806087858,11.335265044911171,58526.293805654845,10.97723139900335,14265756.416838426,1599123610.902955,21.192721572940393,14265756.416838426,1360316960.1094894,21.0309835684444,MYS1994,PRT1994
MLT,CHE,2365,2006,8.48551392694749,1362.42992436123,0,0,0,2.1383604657320503,7.217025093553263,5645.605675029563,8.638632764898947,374808.8673527322,12.834171487958566,26248052.9686006,579986104.3667731,20.17851470322942,26248052.9686006,1026165649.8671746,20.749095022775254,MLT2006,CHE2006
MAR,NPL,1859,1994,0,8499.24088499908,0,0,0,-Inf,9.047732130843075,14682.142013041665,9.594387205219075,1534.0682238602649,7.3356784554234205,14265756.416838426,898156717.5293056,20.615855129446707,14265756.416838426,1757946780.1496317,21.287412362798733,MAR1994,NPL1994
JPN,IRN,1215,1990,1583.5091140666,7542.87383037186,0,0,0,7.367398621608863,8.928358532996498,2245702.9901758707,14.624529166077467,29425.740151896407,10.289625085657372,12246859.677430546,1492694076.8754683,21.12384842953468,12246859.677430546,1028873314.348939,20.75173017091186,JPN1990,IRN1990
